andingmen,青年湖北街,(东城安定门)青年湖北街,122384,5,30天成交1套,1套正在出租,塔楼,289户,3栋,30%,3.5,暂无信息,暂无信息,商品房/已购公房/央产房/私产,1997年 ,集中供暖,1.7元/平米/月,"[116.412397,39.966393]","116.414549,39.967614",蒋宅口B店蒋宅口B店/东城安外甘水桥11 16号楼，16 3,暂无信息,城建,https://bj.lianjia.com/xiaoqu/1111027378886/
andingmen,青年湖南里,(东城安定门)青年湖南里,104317,2,30天成交0套,1套正在出租,塔板结合,273户,3栋,25%,2.5,暂无信息,暂无信息,商品房/已购公房,1990-1993年 ,集中供暖,1至1.1元/平米/月,"[116.41351,39.960267]","116.413128,39.960523",青年湖东里店青年湖东里店/东城区青年湖公园东门1号楼,暂无信息,北京市东开城市建设综合开发公司,https://bj.lianjia.com/xiaoqu/1111027378893/
andingmen,青年湖南街6号院,(东城安定门)青年湖南街6号院,107560,2,30天成交0套,0套正在出租,板楼,60户,1栋,30%,2,暂无信息,暂无信息,商品房/已购公房,1995年 ,集中供暖,1.3元/平米/月,"[116.404725,39.959932]","116.406839,39.957783",青年湖新店青年湖新店/北京市东城区安德路甲10号3号楼1层102,北京维佳物业管理有限责任公司,北京市东城区住宅建设开发公司,https://bj.lianjia.com/xiaoqu/1111027378892/
andingmen,青年湖西里,(东城安定门)青年湖西里,121070,6,30天成交2套,4套正在出租,板楼/平房,398户,9栋,30%,3.5,暂无信息,暂无信息,商品房/已购公房/央产房/使用权/私产/军产,1980-1993年 ,集中供暖,0.8元/平米/月,"[116.404734,39.960609]","116.406839,39.957783",青年湖新店青年湖新店/北京市东城区安德路甲10号3号楼1层102,无物业管理服务,北京住总置业有限公司,https://bj.lianjia.com/xiaoqu/1111027378894/
andingmen,前肖家胡同,(东城安定门)前肖家胡同,245205,1,30天成交0套,1套正在出租,平房,14户,5栋,暂无信息,暂无信息,暂无信息,暂无信息,商品房/私产,1990年 ,自采暖,暂无信息,"[116.415765,39.95402]","116.414498,39.952415",安定门内大街一店安定门内大街一店/北京市东城区安定门内大街107号,无物业管理服务,暂无信息,https://bj.lianjia.com/xiaoqu/1111027378932/
andingmen,青年湖南街,(东城安定门)青年湖南街,100806,3,30天成交0套,5套正在出租,板楼/塔板结合,384户,3栋,30%,3.5,暂无信息,暂无信息,商品房/已购公房,1992-1996年 ,集中供暖,1至2.17元/平米/月,"[116.402772,39.959887]","116.406839,39.957783",青年湖新店青年湖新店/北京市东城区安德路甲10号3号楼1层102,单位自管物业,无开发商,https://bj.lianjia.com/xiaoqu/1111027378891/
andingmen,东绦胡同,(东城安定门)安定门二环内,169365,1,30天成交0套,1套正在出租,平房,48户,14栋,暂无信息,暂无信息,暂无信息,暂无信息,私产,1975-1986年 ,自采暖,暂无信息,"[116.407828,39.954616]","116.406839,39.957783",青年湖新店青年湖新店/北京市东城区安德路甲10号3号楼1层102,无物业管理服务,无开发商,https://bj.lianjia.com/xiaoqu/1111027373935/
andingmen,华府景园,(东城安定门)安外大街11号院,103565,7,30天成交0套,1套正在出租,塔板结合,324户,6栋,30%,4.5,暂无信息,暂无信息,商品房/已购公房/央产房/私产,2001-2003年 ,集中供暖,2.48元/平米/月,"[116.412539,39.967344]","116.413777,39.968581",安外大街店安外大街店/朝阳安华里四区14号楼1 2,北京天鸿宝地物业管理经营有限公司,北京强佑房地产开发有限公司,https://bj.lianjia.com/xiaoqu/1111027374953/
andingmen,国子监街,(东城安定门)国子监街,227068,4,30天成交0套,1套正在出租,平房,354户,84栋,暂无信息,暂无信息,暂无信息,暂无信息,商品房/私产,1950-2023年 ,集中供暖/自采暖,暂无信息,"[116.416922,39.951931]","116.414498,39.952415",安定门内大街一店安定门内大街一店/北京市东城区安定门内大街107号,无物业管理服务,无开发商,https://bj.lianjia.com/xiaoqu/1111027374852/
andingmen,国祥胡同,(东城安定门)国祥胡同,141003,1,30天成交0套,1套正在出租,板楼/平房,66户,12栋,暂无信息,暂无信息,暂无信息,暂无信息,商品房/已购公房/央产房/私产,1958-1980年 ,集中供暖/自采暖,暂无信息,"[116.403529,39.953339]","116.406839,39.957783",青年湖新店青年湖新店/北京市东城区安德路甲10号3号楼1层102,无物业管理服务,无开发商,https://bj.lianjia.com/xiaoqu/1111027374744/
